211.89885709911366	-31.900000	2.906315
236.08918191896038	-5.066667	2.248127
245.08315624137862	8.600000	1.438363
932.42997591649407	8.366667	1.921997
1013.51102966234816	-69.566667	1.353459
1260.31537359517392	64.033333	3.800682
1316.77843914754044	79.833333	1.626403
1545.27756343028295	-92.033333	1.299858
1716.73900413920001	57.500000	2.720703
1834.51148219300421	55.600000	2.699383
1954.17024814194315	-63.100000	2.298309
2405.75629897282215	-45.166667	3.276968
2411.72245432265800	-47.466667	1.903408
2677.99651864683347	70.900000	2.524986
2728.13109245820942	86.733333	2.840318
2771.18445714668178	66.500000	5.647615
3185.75473635489288	86.533333	1.462367
3197.68895722093748	84.400000	0.817856
3204.17958240465350	84.166667	3.264739
3517.29528064160149	-38.633333	3.091326
3729.46690644748287	55.166667	3.055899
3817.17533154736566	-40.566667	2.058226
4001.41372054520843	-27.333333	1.376254
4029.35057023970239	-2.666667	1.456276
4062.92546853228305	44.300000	1.808007
4111.44203610931709	79.833333	1.626403
4182.48979716518534	68.766667	0.936107
4392.83476386717848	-89.666667	0.949074
4556.33488519183084	57.733333	2.050655
4691.35724539038165	41.933333	1.216857
