0.000000	-31.900000
0.010059	-38.633333
0.036773	-27.333333
0.051303	-5.066667
0.070377	8.600000
0.096021	-2.666667
0.167227	44.300000
0.191453	57.500000
0.213646	57.733333
0.223473	64.033333
0.230080	70.900000
0.270120	79.833333
0.306930	86.533333
0.332240	84.400000
0.336405	86.733333
0.343220	79.833333
0.346005	84.166667
0.420798	68.766667
0.427713	66.500000
0.441224	55.600000
0.460031	55.166667
0.500000	41.933333
0.528097	8.366667
0.646042	-40.566667
0.652716	-45.166667
0.665369	-47.466667
0.694995	-63.100000
0.700053	-69.566667
0.827819	-92.033333
0.866896	-89.666667
