MJD	radial velocity, km/s
211.89885709911366	-45.7
236.08918191896038	-18.1
245.08315624137862	-4.3
932.42997591649407	-4.3
1013.51102966234816	-87.2
1260.31537359517392	+57.9
1316.77843914754044	+64.8
1545.27756343028295	-101.0
1716.73900413920001	+51.0
1834.51148219300421	+44.1
1954.17024814194315	-80.3
2405.75629897282215	-59.5
2411.72245432265800	-66.4
2677.99651864683347	+57.9
2728.13109245820942	+64.8
2771.18445714668178	+51.0
3185.75473635489288	+64.8
3197.68895722093748	+71.7
3204.17958240465350	+64.8
3517.29528064160149	-52.6
3729.46690644748287	+44.1
3817.17533154736566	-52.6
4001.41372054520843	-45.7
4029.35057023970239	-11.2
4062.92546853228305	+23.3
4111.44203610931709	+64.8
4182.48979716518534	+57.9
4392.83476386717848	-101.0
4556.33488519183084	+44.1
4691.35724539038165	+30.3
