MJD	radial velocity, km/s
211.89885709911366	-32.4
236.08918191896038	-6.0
245.08315624137862	+7.2
932.42997591649407	+7.2
1013.51102966234816	-72.0
1260.31537359517392	+66.6
1316.77843914754044	+79.8
1545.27756343028295	-91.8
1716.73900413920001	+53.4
1834.51148219300421	+53.4
1954.17024814194315	-65.4
2405.75629897282215	-52.2
2411.72245432265800	-45.6
2677.99651864683347	+66.6
2728.13109245820942	+79.8
2771.18445714668178	+53.4
3185.75473635489288	+86.4
3197.68895722093748	+86.4
3204.17958240465350	+86.4
3517.29528064160149	-39.0
3729.46690644748287	+60.0
3817.17533154736566	-45.6
4001.41372054520843	-25.8
4029.35057023970239	-6.0
4062.92546853228305	+40.2
4111.44203610931709	+79.8
4182.48979716518534	+66.6
4392.83476386717848	-91.8
4556.33488519183084	+53.4
4691.35724539038165	+40.2
